company_name,geocoded_street_address,geocoded_city_address,st_asgeojson,geocoded_zip
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"Reiss Physical Therapy & Rehab, Inc.",7713 Beverly BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.357926141159993,34.076396039649701]}",90036
"",Larchmont BLVD,,"{""type"":""Point"",""coordinates"":[-118.290811650867994,34.1255112066601]}",90027
Al Grimmett & Sons,,,"{""type"":""Point"",""coordinates"":[-118.414726947637007,34.101058909493403]}",90210
Hebrew Helpers,,,"{""type"":""Point"",""coordinates"":[-118.383827854771994,34.051805598412699]}",90035
"",,,"{""type"":""Point"",""coordinates"":[-118.372812914953997,34.072920142745701]}",90048
"",,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
Logical Reality Design,,"Altadena, CA","{""type"":""Point"",""coordinates"":[-118.139506531503997,34.1967322558842]}",91001
Pampered Pets,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Josie Hot Shot Electric,,,"{""type"":""Point"",""coordinates"":[-118.372710721366005,34.072924446587599]}",90048
The Hardwire Group,,,"{""type"":""Point"",""coordinates"":[-118.467981006911003,34.012032740992403]}",90405
"","","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
cesar's air conditioning,11024 Balboa BLVD STE #213,"granada hills, CA","{""type"":""Point"",""coordinates"":[-118.502123208651,34.270677196966801]}",91344
"","","Beverly Hills, CA 90048","{""type"":""Point"",""coordinates"":[-118.372710721366005,34.072924446587599]}",90048
Modern Bite,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"",16830 Ventura BLVD UNIT 300,"Encino, CA","{""type"":""Point"",""coordinates"":[-118.500332870926997,34.158871654526799]}",91436
Party Parking Valet Service,,,"{""type"":""Point"",""coordinates"":[-118.381697190539001,34.093828488681098]}",90069
Plotke plumbing,3121 W Temple St,"Los Angeles, CA 90026","{""type"":""Point"",""coordinates"":[-118.280300166139995,34.0749975172346]}",90026
"",,,"{""type"":""Point"",""coordinates"":[-118.291597067642002,34.125396686297798]}",90027
AV Pro,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Home Front Build,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Web's Painting ,"","Los Angeles, CA 91356","{""type"":""Point"",""coordinates"":[-118.547552629145997,34.155099183553901]}",91356
"","","Los Angeles, CA 91356","{""type"":""Point"",""coordinates"":[-118.547552629145997,34.155099183553901]}",91356
Epic Salon,"","Los Angeles, CA 91316","{""type"":""Point"",""coordinates"":[-118.516679362879003,34.160411007859402]}",91316
Calabasas Car Care,"","Calabasas, CA 91302","{""type"":""Point"",""coordinates"":[-118.670100973317005,34.1242605778979]}",91302
"","","Calabasas, CA 91302","{""type"":""Point"",""coordinates"":[-118.670100973317005,34.1242605778979]}",91302
"","","Calabasas, CA 91302","{""type"":""Point"",""coordinates"":[-118.670100973317005,34.1242605778979]}",91302
Universal Cleaners,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
The Tropics,"","Los Angeles, CA 90038","{""type"":""Point"",""coordinates"":[-118.326528195899996,34.088750751602802]}",90038
Clark Hypnotherapy,"","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
CDR (California Design Remodeling),"","Los Angeles, CA 90049","{""type"":""Point"",""coordinates"":[-118.489266274390005,34.087193557236198]}",90049
Ari Plumbing,"","Los Angeles, CA 90049","{""type"":""Point"",""coordinates"":[-118.489266274390005,34.087193557236198]}",90049
Forat Acupuncture,"","Beverly Hills, CA 90211","{""type"":""Point"",""coordinates"":[-118.382979043353004,34.064957637968497]}",90211
"","","Los Angeles, CA 90026","{""type"":""Point"",""coordinates"":[-118.262974487351002,34.079216664125703]}",90026
"","","Los Angeles, CA 90049","{""type"":""Point"",""coordinates"":[-118.489266274390005,34.087193557236198]}",90049
The Butterfly Loft,17401 Ventura Blvd,"Los Angeles, CA 91316","{""type"":""Point"",""coordinates"":[-118.511533348693007,34.1612028222034]}",91316
"","","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Jim Wayne Salon,"","Beverly Hills, CA 90210","{""type"":""Point"",""coordinates"":[-118.414726947597998,34.101058909498498]}",90210
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
J. Latter Design,,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.372812914953997,34.072920142745701]}",90048
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Calabasas, CA 91302","{""type"":""Point"",""coordinates"":[-118.670100973317005,34.1242605778979]}",91302
Hollywood Hottie Dogs,"","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
JDSS Construction,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
The Do Lab,"","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"",,,"{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Sweet Marmalade,"","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",
Textile Collections Inc,"","Los Angeles, CA 90014","{""type"":""Point"",""coordinates"":[-118.251746518174002,34.043145706209202]}",90014
"","","Culver City, CA 90291","{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079235097]}",90291
Love in LA Events,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"","","Los Angeles, CA 90026","{""type"":""Point"",""coordinates"":[-118.262974487351002,34.079216664125703]}",90026
Elite Travel ,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Hollywood Plumbing,"","Glendale, CA 90039","{""type"":""Point"",""coordinates"":[-118.260058796009005,34.111842201112999]}",90039
FUR,"","Glendale, CA 90039","{""type"":""Point"",""coordinates"":[-118.260058796009005,34.111842201112999]}",90039
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Clementine Floral Works,"","Glendale, CA 90039","{""type"":""Point"",""coordinates"":[-118.260058796009005,34.111842201112999]}",90039
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Solutions Consulting,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Solar Art Custom Glass Tinting,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Lipson Plumbing,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Healing Hands,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Swanson Dentistry,"","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
"","","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
Walters Camera Repairs,"","Los Angeles, CA 90012","{""type"":""Point"",""coordinates"":[-118.238211262503,34.066009533532799]}",90012
Dermatology Associates Medical Group,"","Beverly Hills, CA 90210","{""type"":""Point"",""coordinates"":[-118.414726947597998,34.101058909498498]}",90210
Back 2 Health Physical Therapy,"","Beverly Hills, CA 90069","{""type"":""Point"",""coordinates"":[-118.38169719055,34.093828488689397]}",90069
Frank Kwong MD,"","Beverly Hills, CA 90211","{""type"":""Point"",""coordinates"":[-118.382979043353004,34.064957637968497]}",90211
The Healthy Spot,"","Beverly Hills, CA 90069","{""type"":""Point"",""coordinates"":[-118.38169719055,34.093828488689397]}",90069
"","","Los Angeles, CA 90064","{""type"":""Point"",""coordinates"":[-118.424970491048001,34.036962344070403]}",90064
"","","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
West Coast Water Filtration,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Arden Small Animal Hospital,"","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
American Primitive,"","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
Children's Hospital Neurosurgery ,"","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
Ruth's Skin Care,"","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
Larios Air Conditioning,"","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
David Dru Salon,"","Beverly Hills, CA 90211","{""type"":""Point"",""coordinates"":[-118.382979043353004,34.064957637968497]}",90211
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Khalsa Medical,"","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Jen Spencer Coaches,,,"{""type"":""Point"",""coordinates"":[-118.260058796009005,34.1118422011129]}",90039
Sterling & Sterling of California,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"",,,"{""type"":""Point"",""coordinates"":[-118.291597067642002,34.125396686297798]}",90027
"",10231 Santa Monica BLVD UNIT B,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.420582877423001,34.060387780638798]}",10231
PAWS-A-TIVE -PAWS,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
www.housepainting-LA.com,,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
"","","Los Angeles, CA 90049","{""type"":""Point"",""coordinates"":[-118.489266274390005,34.087193557236198]}",90049
Berk Chiropractic,"","Beverly Hills, CA 90211","{""type"":""Point"",""coordinates"":[-118.382979043353004,34.064957637968497]}",90211
"",,,"{""type"":""Point"",""coordinates"":[-118.489266274390005,34.087193557236198]}",90049
FitMix,601 N La Brea,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.344386455404006,34.082115835512901]}",90004
"","","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
CA Floors,"","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
"","","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
Neil George Salon,"","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
Omags,"","Los Angeles, CA 90038","{""type"":""Point"",""coordinates"":[-118.326528195899996,34.088750751602802]}",90038
"","","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
California Fertility Partners,"","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
"","","Culver City, CA 90066","{""type"":""Point"",""coordinates"":[-118.430609130239006,34.001240610797197]}",90066
"",,,"{""type"":""Point"",""coordinates"":[-118.520345268152994,34.159737288981397]}",91316
Optimal Health,"","Beverly Hills, CA 90069","{""type"":""Point"",""coordinates"":[-118.38169719055,34.093828488689397]}",90069
M.M. Speer Art Installation Experts,,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
Melanie Williams Landscapes,"","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
House Medics,"","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Sterling Security,,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
Alisi Wood foors,,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
Glamour Beauty on 3rd Street,8342 W 3 Rd ST,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.371496128062006,34.072738572868701]}",90048
"","","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
"","","Beverly Hills, CA 90048","{""type"":""Point"",""coordinates"":[-118.372710721366005,34.072924446587599]}",90048
Ophthalmology Assoc of the Valley,,,"{""type"":""Point"",""coordinates"":[-118.520345268152994,34.159737288981397]}",91316
"",,,"{""type"":""Point"",""coordinates"":[-118.520345268152994,34.159737288981397]}",91316
Dog Sitter,,,"{""type"":""Point"",""coordinates"":[-118.291597067642002,34.125396686297798]}",90027
Plumber Extraodinaire,,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
"",1304 15 Th ST UNIT #204,"Santa Monica, CA","{""type"":""Point"",""coordinates"":[-118.486378995506996,34.025791806780099]}",90404
"",,,"{""type"":""Point"",""coordinates"":[-118.381182141216001,34.094309765850298]}",90069
"",2808 Glendale BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.263199090919002,34.107563927418902]}",90026
Belladonna Face & Body Clinic,,,"{""type"":""Point"",""coordinates"":[-118.383158299848006,34.064944395346501]}",90211
Lil' Bloomers,,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
"",,,"{""type"":""Point"",""coordinates"":[-118.430779767066994,34.001417047730499]}",90066
Prudential,,,"{""type"":""Point"",""coordinates"":[-118.504504318228996,34.0347259716007]}",90402
Elysian Landscapes,2340 W Third ST,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.275812555185993,34.064534933900397]}",90057
"",,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
"","","Culver City, CA 90066","{""type"":""Point"",""coordinates"":[-118.430609130239006,34.001240610797197]}",90066
Gina Marie Skincare,,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
Bent Grass,"","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
"",,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
L.A. Schoolmates,,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
Pilates,,,"{""type"":""Point"",""coordinates"":[-118.291597067642002,34.125396686297798]}",90027
LA Herbs And Acupuncture,"","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
"",,,"{""type"":""Point"",""coordinates"":[-118.291597067642002,34.125396686297798]}",90027
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
Schaefco,,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
Universal Construction,,,"{""type"":""Point"",""coordinates"":[-118.309867862934993,34.066366176747998]}",90020
"",,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.349741158032998,34.070212894525298]}",90036
Carlson Construction,,,"{""type"":""Point"",""coordinates"":[-118.365295811348005,34.107471444297701]}",90046
Little Fishes Swimming,"","Los Angeles, CA 90402","{""type"":""Point"",""coordinates"":[-118.504504318170007,34.0347259715859]}",90402
"",7080 Hollywood BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.344415961847005,34.101133070839303]}",90029
Beverly Hills Chess Club,8950 W Olympic BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.387219582832003,34.059070907260697]}",90211
"Bluecat International, LLC",357 S Robertson BLVD,"Beverly Hills, CA","{""type"":""Point"",""coordinates"":[-118.383849508395997,34.070917752872802]}",90211
Star Michael Design,,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.411047253741003,34.104822294465897]}",
"","","Los Angeles, CA 90004","{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"",,,"{""type"":""Point"",""coordinates"":[-118.310722412610005,34.076197339627399]}",90004
"",416 N Bedford Dr,"Beverly Hills, CA 90210","{""type"":""Point"",""coordinates"":[-118.405195430351995,34.068205519640401]}",90210
"",411 N Larchmont BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.323734259131001,34.077729761591002]}",90004
Keller Williams,,,"{""type"":""Point"",""coordinates"":[-118.383674251474005,34.051808334617]}",90035
"",,,"{""type"":""Point"",""coordinates"":[-118.372710721390007,34.072924446593802]}",90048
"",,,"{""type"":""Point"",""coordinates"":[-118.489266274483995,34.087193557306598]}",90049
William Caplan Psychotherapy,8170 Beverly BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.367721611769994,34.075789780240598]}",90048
"",,,"{""type"":""Point"",""coordinates"":[-118.309869963780002,34.066378625550399]}",90020
"",,,"{""type"":""Point"",""coordinates"":[-118.365202417424001,34.107410286201699]}",90046
"",,,"{""type"":""Point"",""coordinates"":[-118.365202417424001,34.107410286201699]}",90046
"",,,"{""type"":""Point"",""coordinates"":[-118.291597067642002,34.125396686297798]}",90027
Authentic Recovery Center,2203 Overland AVE,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.428275290610998,34.0456793810012]}",90064
"",,,"{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"",300 N Arden BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.325637769479997,34.076378488182797]}",90004
"",211 S Normandie UNIT #4,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.300751793819998,34.0707082087443]}",90004
"",252 E Orange GRV,"pasadena, CA","{""type"":""Point"",""coordinates"":[-118.158551556088,34.150891844440999]}",91104
"",,,"{""type"":""Point"",""coordinates"":[-118.262974487351002,34.079216664125802]}",90026
"",,,"{""type"":""Point"",""coordinates"":[-118.401965879494995,34.062210363736803]}",90212
Salsa Sweets,,,,
Merlin's Kitchen,,,,
Conform,,,"{""type"":""Point"",""coordinates"":[-118.845465689484001,34.069410343409203]}",90265
Renteria flooring,,,"{""type"":""Point"",""coordinates"":[-118.27773062992901,34.101367231745897]}",90027
Dr. Calvin Ezrin Endocrinologist,18357 Clark ST,"Tarzana, CA","{""type"":""Point"",""coordinates"":[-118.533319711516995,34.169865090064]}",91356
Web's Painting,9363 Burnet AVE,"North Hills, CA","{""type"":""Point"",""coordinates"":[-118.463794745460007,34.240827346518699]}",91343
"",,,"{""type"":""Point"",""coordinates"":[-118.365202417491005,34.107410286267999]}",90046
"",,,"{""type"":""Point"",""coordinates"":[-118.27773062992901,34.101367231745897]}",90027
Bret Lipman Construction,,,"{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
BCG Concepts,,,"{""type"":""Point"",""coordinates"":[-118.456122622560002,34.105446694209697]}",90077
"Douglas Raub Design and Development, Inc.",,,"{""type"":""Point"",""coordinates"":[-118.456122622560002,34.105446694209697]}",90077
Kathryn Murray Calligraphy,,,"{""type"":""Point"",""coordinates"":[-118.338736237391998,34.048638385939]}",90019
Lisa Picotte's Young Actors' Studio,,,"{""type"":""Point"",""coordinates"":[-118.260058796009005,34.1118422011129]}",90039
www.theraingutterspecialists.com    ,,,"{""type"":""Point"",""coordinates"":[-118.383674251480002,34.051808334608999]}",90035
"Melissa Ripp, Psy.D.",,,"{""type"":""Point"",""coordinates"":[-118.372710721366005,34.072924446587599]}",90048
Paraiso Pools,,,"{""type"":""Point"",""coordinates"":[-118.456122622560002,34.105446694209697]}",90077
"",,"Encino, CA","{""type"":""Point"",""coordinates"":[-118.495653199637999,34.1498066512967]}",91436
KSM Construction,2520 Fairmount Ave,"La Crescenta-Montrose, CA 91214","{""type"":""Point"",""coordinates"":[-118.233675424457005,34.222906829123197]}",91214
"",,,"{""type"":""Point"",""coordinates"":[-118.412720944444004,34.100182410059602]}",90210
OB/GYN,Olympic,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.411050481461004,34.1048085331512]}",
Larchmont Optemetrics,317 N Larchmont BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.323729063151006,34.076434073148803]}",90004
"",,,"{""type"":""Point"",""coordinates"":[-118.383674251474005,34.051808334617]}",90035
A1 Lock & Key,,,"{""type"":""Point"",""coordinates"":[-118.328591041604994,34.128089262614303]}",90068
Pedro,740 S Carondelet ST APT 1,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.281367545349994,34.057248502112003]}",90057
"",,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
Sisco Home Electronics,,,"{""type"":""Point"",""coordinates"":[0,0]}",
Hefford Designs,,,"{""type"":""Point"",""coordinates"":[0,0]}",
BRF Upholstery,4403 W Pico,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.330886191662003,34.048291367835702]}",90019
Delilah Bakery,1665 Echo Park AVE,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.254706682435994,34.083401707793698]}",90026
IKAR,5870 W Olympic BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.359063449825001,34.056978499450103]}",90036
John Guy Carpet & Fabric Care,,,"{""type"":""Point"",""coordinates"":[-118.310722412610005,34.076197339627399]}",90004
Mojomac,,,"{""type"":""Point"",""coordinates"":[-118.309869963780002,34.066378625550399]}",90020
"",,,"{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"",,,"{""type"":""Point"",""coordinates"":[0,0]}",
"",,"West Hollywood, CA","{""type"":""Point"",""coordinates"":[-118.365202417424001,34.107410286201699]}",90046
"",,,"{""type"":""Point"",""coordinates"":[-118.399928921717006,34.1661555727269]}",91607
Buzzell Design,,,"{""type"":""Point"",""coordinates"":[-118.291597067642002,34.125396686297798]}",90027
"",,,"{""type"":""Point"",""coordinates"":[-118.291597067642002,34.125396686297798]}",90027
Uncurry,,,"{""type"":""Point"",""coordinates"":[-118.291597067642002,34.125396686297798]}",90027
"",,,"{""type"":""Point"",""coordinates"":[-93.252959455587998,44.935003834431001]}",55407
Helmet Salon,914 N Fairfax,"West Hollywood, CA","{""type"":""Point"",""coordinates"":[-118.361144022415004,34.087705569376297]}",90046
The Sweat Spot,,,"{""type"":""Point"",""coordinates"":[0,0]}",
Dongguk University,440 Shatto PL,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.289475168823003,34.065947245462198]}",90027
"",,,"{""type"":""Point"",""coordinates"":[-118.489266274390005,34.087193557236198]}",90049
"",,,"{""type"":""Point"",""coordinates"":[-118.489266274390005,34.087193557236198]}",90049
The Bead Source,7765 Beverly BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.358677529036996,34.076206671163703]}",90036
"",,,"{""type"":""Point"",""coordinates"":[-118.310722412550007,34.076197339639798]}",90004
"",462 N Linden DR,"Beverly Hills, CA","{""type"":""Point"",""coordinates"":[-118.408200799447997,34.067830930964803]}",90212
"",,,"{""type"":""Point"",""coordinates"":[-118.465033123994004,33.993351079234998]}",90291
"",,,"{""type"":""Point"",""coordinates"":[-118.372710721366005,34.072924446587599]}",90048
"",,,"{""type"":""Point"",""coordinates"":[-118.365202417491005,34.107410286267999]}",90046
Dr. Aviva D.Biederman,Cedars Sinai Towers W,"Beverly Hills, CA","{""type"":""Point"",""coordinates"":[-118.414726947597998,34.101058909498597]}",90004
"",8605 W Sunset BLVD,"West Hollywood, CA","{""type"":""Point"",""coordinates"":[-118.379180566981006,34.092662518989897]}",90069
"",,,"{""type"":""Point"",""coordinates"":[-118.326816578071004,34.088889391539603]}",90038
"James E. Shenberg, DDS - http://www.shenbergdental.com/",2701 Ocean Park BLVD STE 108,"Santa Monica, CA","{""type"":""Point"",""coordinates"":[-118.45712282961,34.018536123873602]}",90405
"","","Los Angeles, CA 90027","{""type"":""Point"",""coordinates"":[-118.290811650828999,34.125511206639203]}",90027
"",,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
"",,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
"",,,"{""type"":""Point"",""coordinates"":[-118.546638517161995,34.079551897156399]}",90272
"",,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
Sternz Dentistry,,,"{""type"":""Point"",""coordinates"":[-118.259193658079994,34.111101350067997]}",90039
Bobcat Carpet Cleaning,,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
"",Wilshire BLVD,"Beverly Hills, CA","{""type"":""Point"",""coordinates"":[-118.412720944444004,34.100182410059602]}",90210
"",,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
BH Group of Women Physicians,,"Beverly Hills, CA","{""type"":""Point"",""coordinates"":[-118.402113990931994,34.078526293723399]}",
Robert L Truskett Roofing,,"Burbank, CA","{""type"":""Point"",""coordinates"":[-119.503235502799996,37.240048945280101]}",
Robbins Gardens,,,"{""type"":""Point"",""coordinates"":[-118.310715038509002,34.076258599105401]}",90004
"",,,"{""type"":""Point"",""coordinates"":[-118.308211186826995,34.059453933382201]}",90005
"",,,"{""type"":""Point"",""coordinates"":[-118.308211186826995,34.059453933382201]}",90005
Dental Spa,881 Alma Real DR UNIT #222,"Pacific Palisades, CA","{""type"":""Point"",""coordinates"":[-118.525581204112001,34.044664421027797]}",90272
"",,,"{""type"":""Point"",""coordinates"":[-118.491937685785999,34.088039694838997]}",90049
Animal Carlsen Hospital,11163 La Grange,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.441143907270003,34.042607347840701]}",90025
"",11645 Wilshire BLVD,"LOS ANGELES, CA","{""type"":""Point"",""coordinates"":[-118.460488788895006,34.0502677611073]}",90025
